location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Asansol Court Area, Asansol - WBPCB",pm25,25.65,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-30 19:00:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,21.7,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-30 13:30:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,12.91,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-29 23:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,13.27,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-29 05:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,10.05,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-29 00:15:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,24.8,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-28 13:00:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,10.33,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-28 06:30:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,14.72,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-28 05:00:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,14.11,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-28 04:15:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,17.63,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 21:30:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,20.27,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 19:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,21.76,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 18:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,21.79,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 15:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,20.78,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 15:00:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,17.01,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-27 13:45:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,4.13,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-26 22:30:00,23.685297,86.945968
"Asansol Court Area, Asansol - WBPCB",pm25,16.64,b'\xc2\xb5g/m\xc2\xb3',IN,Asansol,2020-08-26 13:15:00,23.685297,86.945968
