location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"GIDC, Ankleshwar - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 18:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 18:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 17:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 14:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 08:15:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,20.32,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 07:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,30.39,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 03:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,30.39,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 03:15:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,39.32,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-31 02:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,25.5,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-30 14:15:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,31.73,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-30 08:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,37.37,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-28 15:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,32.01,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-27 13:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,20.09,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-27 10:15:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,28.62,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 23:00:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,28.62,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 22:45:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,24.49,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 21:45:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,24.49,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 21:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,36.64,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 13:45:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,25.13,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-26 04:15:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,17.97,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-25 19:30:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,19.82,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-25 14:45:00,21.613267,73.010555
"GIDC, Ankleshwar - GPCB",pm25,19.75,b'\xc2\xb5g/m\xc2\xb3',IN,Ankleshwar,2020-08-25 13:15:00,21.613267,73.010555
