location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Golden Temple, Amritsar - PPCB",pm25,18.86,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 22:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,18.25,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 22:00:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,7.06,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 19:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,20.86,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 17:45:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,21.43,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 17:00:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,16.08,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 15:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,3.59,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 10:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,4.66,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 09:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,4.66,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 09:15:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,9.04,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 06:45:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,8.49,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-31 02:45:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,17.86,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-30 21:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,37.5,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-30 00:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,15.69,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-29 07:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,25.13,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-29 05:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,7.87,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 13:00:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,9.52,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 08:00:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 06:30:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,10.84,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 04:15:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,13.16,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 03:45:00,31.62,74.876512
"Golden Temple, Amritsar - PPCB",pm25,8.84,b'\xc2\xb5g/m\xc2\xb3',IN,Amritsar,2020-08-28 01:00:00,31.62,74.876512
