location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Maninagar, Ahmedabad - GPCB",pm25,44.9,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 21:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,27.54,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 17:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,22.41,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 17:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,5.47,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 13:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,16.57,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 10:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,10.41,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 07:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,25.78,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 03:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,20.64,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 02:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,19.18,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-31 02:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,16.73,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-30 21:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,23.47,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-30 14:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.83,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-29 05:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,32.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-29 00:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,21.56,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-28 13:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.7,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-28 06:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.67,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-28 05:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.4,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-28 04:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,15.77,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-27 21:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,18.91,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-27 19:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,17.14,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-27 18:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,27.96,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-27 15:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,20.88,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-27 13:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,51.25,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-26 22:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,23.84,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-26 13:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,143.31,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-25 17:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,17.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-25 12:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,20.07,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-25 12:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,21.1,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-25 08:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,36.24,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-24 15:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.96,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-24 12:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,12.17,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-24 08:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,17.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-23 09:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.64,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-22 15:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,30.87,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-22 13:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,19.68,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-19 02:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.63,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-18 22:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-18 07:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,33.84,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-18 05:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,30.32,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-17 21:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,46.23,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-17 15:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,49.2,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-17 05:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,49.17,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-17 04:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,18.75,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-16 13:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.56,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-16 11:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,32.65,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-15 20:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,10.27,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-14 09:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.4,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-14 07:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,10.71,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 22:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,10.71,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 22:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,17.78,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 19:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,19.09,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 18:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,15.72,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 16:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,26.74,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 15:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,21.46,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-13 12:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,27.64,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-12 01:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,28.83,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-12 01:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.78,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-12 00:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.78,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-12 00:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,13.5,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 22:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,21.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 21:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,35.35,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 19:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 18:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,30.8,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 08:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,25.43,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-11 07:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,25.63,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 12:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,42.1,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 10:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,41.06,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 08:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,54.89,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 02:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,54.89,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 01:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,52.57,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-10 01:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,72.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-09 15:15:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,72.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-09 15:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,47.73,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-09 03:45:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,37.12,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-09 00:30:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,29.27,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-08 02:00:00,23.002657,72.591912
"Maninagar, Ahmedabad - GPCB",pm25,34.63,b'\xc2\xb5g/m\xc2\xb3',IN,Ahmedabad,2020-08-07 19:30:00,23.002657,72.591912
