location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Moti Doongri, Alwar - RSPCB",pm25,31.68,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 21:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,35.35,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 18:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,40.14,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 17:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.88,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 13:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.28,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 10:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.1,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 08:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.75,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 03:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.75,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 02:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.38,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-31 02:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.34,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-30 18:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.91,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-30 14:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,35.0,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-29 05:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.76,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-29 00:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,34.74,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-28 13:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.51,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-28 06:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-28 05:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-28 04:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,38.78,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-27 21:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,31.97,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-27 19:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-27 19:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,36.08,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-27 15:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,36.23,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-27 13:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,35.87,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-26 22:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.52,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-26 13:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.99,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-25 17:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.88,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-25 12:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.73,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-25 12:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,32.33,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-25 08:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,33.32,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-24 15:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,30.43,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-24 08:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.05,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-23 09:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-22 15:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.16,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-22 14:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,29.45,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-19 02:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.43,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-18 09:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,27.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-18 05:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,26.43,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-17 21:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,25.36,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-17 15:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-17 09:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,48.4,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-17 05:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,48.4,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-17 05:00:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,29.3,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-16 13:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,25.9,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-16 11:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,24.09,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-15 20:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,26.08,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-14 09:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,25.51,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-14 07:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.39,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-13 22:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,26.12,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-13 19:45:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,26.89,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-13 18:30:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.96,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-13 16:15:00,27.554793,76.611536
"Moti Doongri, Alwar - RSPCB",pm25,23.97,b'\xc2\xb5g/m\xc2\xb3',IN, Alwar,2020-08-13 15:30:00,27.554793,76.611536
