location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 21:30:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 18:30:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 18:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 17:15:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 14:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 10:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 08:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 03:30:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 03:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 02:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-31 02:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-30 21:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-30 14:15:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-30 07:30:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-30 00:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,45.36,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-29 13:15:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-29 07:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-29 06:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,3.23,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-28 10:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,12.0,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-27 03:00:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-24 18:45:00,30.0325454,76.5623046
"Ratanpura, Rupnagar - Ambuja Cements",pm25,999.99,b'\xc2\xb5g/m\xc2\xb3',IN,Rupnagar,2020-08-24 17:45:00,30.0325454,76.5623046
