location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Bapuji Nagar, Bengaluru - KSPCB",pm25,11,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 18:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,11,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 17:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,41,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 14:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,15,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 10:45:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,14,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 08:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,14,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-31 07:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,17,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-30 01:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,15,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-30 00:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,25,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-29 13:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,25,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-29 06:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,60,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-29 00:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,32,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-28 13:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,19,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-28 06:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,19,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-28 05:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,21,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-28 04:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,26,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 21:45:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,26,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 21:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,26,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 21:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,38,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 20:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,56,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 19:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,48,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 16:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,19,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-27 10:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,33,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-26 21:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,101,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-26 13:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,19,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-26 04:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,44,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-25 19:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,35,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-25 13:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,35,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-25 12:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,20,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-24 18:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,28,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-24 15:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,24,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-24 12:45:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,18,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-24 08:30:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,26,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-23 20:00:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,16,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-23 09:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,24,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-22 15:15:00,12.951913,77.539784
"Bapuji Nagar, Bengaluru - KSPCB",pm25,29,b'\xc2\xb5g/m\xc2\xb3',IN,Bengaluru,2020-08-22 14:00:00,12.951913,77.539784
