location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Hardev Nagar, Bathinda - PPCB",pm25,3.37,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 18:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.88,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 17:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.11,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 17:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,19.6,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 13:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,57.41,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 10:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 07:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,6.38,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 03:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,6.38,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 02:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.16,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 02:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.52,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-31 01:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.79,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-30 21:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,13.38,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-30 14:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,10.32,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-29 23:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,26.02,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-29 13:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,6.27,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-29 05:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.99,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-29 00:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,2.61,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-28 13:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.46,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-28 05:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.56,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-28 05:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.6,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-28 04:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.56,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 21:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.43,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 21:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.43,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 21:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,6.1,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 19:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.93,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 18:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,2.73,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 15:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.34,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 13:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,2.1,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-27 10:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.83,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-26 22:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,7.01,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-26 21:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,7.01,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-26 21:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,9.72,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-26 13:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-19 18:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.77,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-19 07:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.57,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-19 02:00:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.06,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-18 22:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,4.21,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-18 09:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.48,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-18 05:30:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,8.82,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-17 21:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,8.96,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-17 14:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,5.01,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-17 14:15:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,6.51,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-17 12:45:00,30.233011,74.907758
"Hardev Nagar, Bathinda - PPCB",pm25,3.9,b'\xc2\xb5g/m\xc2\xb3',IN,Bathinda ,2020-08-17 08:45:00,30.233011,74.907758
