location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Kalal Majra, Khanna - PPCB",pm25,34.52,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 18:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,28.41,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 17:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,30.87,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 13:45:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,17.99,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 10:30:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,22.49,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 08:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,11.06,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 03:15:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,11.06,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 03:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,9.77,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 02:30:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,9.53,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-31 02:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,13.94,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-30 21:30:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,19.08,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-30 14:00:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,25.0,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-29 23:45:00,30.736056,76.209694
"Kalal Majra, Khanna - PPCB",pm25,24.97,b'\xc2\xb5g/m\xc2\xb3',IN,Khanna,2020-08-29 13:00:00,30.736056,76.209694
