location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"More Chowk Waluj, Aurangabad - MPCB",pm25,31.76,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 22:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,31.53,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 22:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,7.16,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 19:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.29,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 17:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.4,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 17:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,14.8,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 15:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,14.37,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 10:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.05,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 09:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,6.65,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 09:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,22.99,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 02:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,28.4,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-31 00:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.93,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 22:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,11.46,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 21:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.14,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 06:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,12.97,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 05:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,15.89,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 04:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.04,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 00:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.04,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 00:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.06,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-30 00:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.84,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-29 13:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,23.62,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-28 04:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.58,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-26 06:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,30.89,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 17:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,20.26,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 13:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.69,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 12:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,7.23,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 12:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,7.23,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 11:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.58,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 08:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,16.64,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 05:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.31,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-25 03:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,19.3,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 22:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,19.3,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 22:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,36.71,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 19:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,14.66,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 13:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,22.52,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 11:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,6.93,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 07:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.28,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 04:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,8.3,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 03:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,10.59,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 02:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,15.18,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 01:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,19.47,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-24 00:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,31.74,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 22:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,31.24,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 21:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,13.81,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 20:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,14.89,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 17:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,19.32,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 16:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,19.37,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 16:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,13.38,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 10:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,14.36,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 03:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,25.8,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-23 00:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,15.57,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 22:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,15.57,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 21:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,20.93,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 17:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,32.45,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 17:15:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,9.84,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 09:00:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,9.77,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 02:45:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,9.77,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 02:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,7.22,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-22 01:30:00,19.8389439,75.244448
"More Chowk Waluj, Aurangabad - MPCB",pm25,13.13,b'\xc2\xb5g/m\xc2\xb3',IN,Aurangabad,2020-08-21 14:45:00,19.8389439,75.244448
