location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Nathu Colony, Ballabgarh - HSPCB",pm25,36.45,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 18:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,35.87,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 17:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,40.77,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 13:45:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,28.93,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 09:30:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,37.04,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 08:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,0.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 07:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,34.89,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 03:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,34.89,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 03:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,21.57,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-31 02:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,35.43,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-30 14:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,34.64,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-30 07:45:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,58.79,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-29 23:45:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,61.46,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-29 13:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,67.85,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-29 07:30:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,83.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-29 05:45:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,49.96,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-29 00:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 07:30:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,25.98,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 06:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,169.76,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 05:15:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 04:30:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,65.99,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 03:45:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,23.61,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-28 00:00:00,28.3419248,77.319699
"Nathu Colony, Ballabgarh - HSPCB",pm25,29.72,b'\xc2\xb5g/m\xc2\xb3',IN,Ballabgarh,2020-08-27 22:45:00,28.3419248,77.319699
