location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"New Collectorate, Baghpat - UPPCB",pm25,20,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 18:30:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,20,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 18:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,20,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 17:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,9,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 14:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,10,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 10:45:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,10,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 08:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,10,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 07:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,8,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 03:30:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,8,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 03:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,6,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 03:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,6,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 02:45:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,4,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-31 02:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,12,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-30 14:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,6,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-30 08:00:00,28.974801,77.213357
