location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Phase-4 GIDC, Vatva - GPCB",pm25,59.54,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 18:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,58.58,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 17:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,62.8,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 16:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,58.83,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 14:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,43.45,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 08:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,43.45,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 07:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,41.03,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 03:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,38.83,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 03:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.38,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 03:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,30.03,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-31 02:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,34.17,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-30 14:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,49.77,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-30 07:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,40.72,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-30 00:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,53.45,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-29 13:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,51.48,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-29 07:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,66.91,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-29 06:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,48.78,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-29 00:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,44.41,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 22:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,60.5,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 07:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,66.94,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 07:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,42.82,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 06:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,42.82,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 05:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,42.81,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 04:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,45.4,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 03:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,43.51,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 01:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.6,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-28 00:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.17,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 23:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,38.0,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 21:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,48.66,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 20:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,42.58,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 19:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,48.35,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 15:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,47.95,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 15:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,43.05,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 13:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,43.05,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 13:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,45.73,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 13:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,66.14,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-27 10:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,67.05,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-26 22:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,61.15,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-26 21:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,63.9,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-26 13:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,48.33,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-26 04:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.42,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 19:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,42.02,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 14:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,46.34,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 13:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,47.88,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 12:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,54.49,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 12:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.02,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-25 05:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.06,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-24 18:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,44.27,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-24 15:15:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,44.96,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-24 12:45:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,29.51,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-24 08:30:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,24.29,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-23 20:00:00,22.969611,72.6435
"Phase-4 GIDC, Vatva - GPCB",pm25,27.02,b'\xc2\xb5g/m\xc2\xb3',IN,Vatva,2020-08-23 09:15:00,22.969611,72.6435
