location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Sector-2 IMT, Manesar - HSPCB",pm25,33.65,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 18:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,28.63,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 17:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,24.16,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 13:45:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,20.65,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 08:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,22.37,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 07:15:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,6.79,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 03:15:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,7.58,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 03:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,8.76,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 02:30:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,7.34,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-31 02:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,13.18,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-30 14:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,11.01,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-30 07:30:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,39.13,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-29 23:45:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,29.12,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-29 13:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,33.53,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-29 07:30:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,42.13,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-29 05:45:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,50.76,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-29 00:15:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,33.54,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-28 06:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,40.95,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-28 05:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,40.95,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-28 04:30:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,54.45,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 22:45:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,64.69,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 21:30:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,63.49,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 21:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,64.93,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 19:45:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,59.37,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 19:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,52.23,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 16:00:00,28.360699,76.93609
"Sector-2 IMT, Manesar - HSPCB",pm25,26.59,b'\xc2\xb5g/m\xc2\xb3',IN,Manesar ,2020-08-27 10:00:00,28.360699,76.93609
