location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Vidayagiri, Bagalkot - KSPCB",pm25,18.37,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 22:30:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,21.75,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 22:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,44.03,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 19:30:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,16.34,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 18:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,38.25,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 15:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,11.44,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 09:30:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,8.62,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 09:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,12.01,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 07:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,17.0,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 07:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,17.37,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 06:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,20.25,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 03:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,20.25,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 03:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,20.25,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 02:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,31.15,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-31 01:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,10.92,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-30 23:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.86,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-30 22:30:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,20.19,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-30 19:30:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.0,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-30 12:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.76,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-30 07:00:00,16.172806,75.659694
