COUNTRY,CITY,LOCATION,PARAMETER
BA,Tuzla,Skver,so2
BA,Tuzla,Skver,no2
BA,Tuzla,Skver,o3
BA,Tuzla,Skver,pm25
BA,Tuzla,Skver,co
BA,Tuzla,Skver,pm10
BA,Tuzla,BKC,so2
BA,Tuzla,BKC,no2
BA,Tuzla,BKC,o3
BA,Tuzla,BKC,pm25
BA,Tuzla,BKC,co
BA,Tuzla,BKC,pm10
BA,Tuzla,Bukinje,so2
BA,Tuzla,Bukinje,no2
BA,Tuzla,Bukinje,o3
BA,Tuzla,Bukinje,pm25
BA,Tuzla,Bukinje,co
BA,Tuzla,Bukinje,pm10
BA,Lukavac,Lukavac,so2
BA,Lukavac,Lukavac,no2
BA,Lukavac,Lukavac,o3
BA,Lukavac,Lukavac,pm25
BA,Lukavac,Lukavac,co
BA,Lukavac,Lukavac,pm10
BA,Živinice,Živinice,so2
BA,Živinice,Živinice,no2
BA,Živinice,Živinice,o3
BA,Živinice,Živinice,pm25
BA,Živinice,Živinice,co
BA,Živinice,Živinice,pm10
CL,Tocopilla,Gobernación,so2
CL,Tocopilla,Gobernación,no2
CL,Tocopilla,Gobernación,o3
CL,Tocopilla,Gobernación,pm25
CL,Tocopilla,Gobernación,co
CL,Tocopilla,Gobernación,pm10
CL,Calama,Chiu Chiu,so2
CL,Calama,Chiu Chiu,no2
CL,Calama,Chiu Chiu,o3
CL,Calama,Chiu Chiu,pm25
CL,Calama,Chiu Chiu,co
CL,Calama,Chiu Chiu,pm10
CL,Tocopilla,Bomberos,so2
CL,Tocopilla,Bomberos,no2
CL,Tocopilla,Bomberos,o3
CL,Tocopilla,Bomberos,pm25
CL,Tocopilla,Bomberos,co
CL,Tocopilla,Bomberos,pm10
CL,Calama,Complejo Deportivo 23 de Marzo,so2
CL,Calama,Complejo Deportivo 23 de Marzo,no2
CL,Calama,Complejo Deportivo 23 de Marzo,o3
CL,Calama,Complejo Deportivo 23 de Marzo,pm25
CL,Calama,Complejo Deportivo 23 de Marzo,co
CL,Calama,Complejo Deportivo 23 de Marzo,pm10
CL,Calama,Colegio Pedro Vergara Keller,so2
CL,Calama,Colegio Pedro Vergara Keller,no2
CL,Calama,Colegio Pedro Vergara Keller,o3
CL,Calama,Colegio Pedro Vergara Keller,pm25
CL,Calama,Colegio Pedro Vergara Keller,co
CL,Calama,Colegio Pedro Vergara Keller,pm10
CL,Calama,Estación Centro,so2
CL,Calama,Estación Centro,no2
CL,Calama,Estación Centro,o3
CL,Calama,Estación Centro,pm25
CL,Calama,Estación Centro,co
CL,Calama,Estación Centro,pm10
CL,Copiapó,Copiapo Sivica,so2
CL,Copiapó,Copiapo Sivica,no2
CL,Copiapó,Copiapo Sivica,o3
CL,Copiapó,Copiapo Sivica,pm25
CL,Copiapó,Copiapo Sivica,co
CL,Copiapó,Copiapo Sivica,pm10
CL,Machalí,Coya Población,so2
CL,Machalí,Coya Población,no2
CL,Machalí,Coya Población,o3
CL,Machalí,Coya Población,pm25
CL,Machalí,Coya Población,co
CL,Machalí,Coya Población,pm10
CL,Machalí,Cauquenes,so2
CL,Machalí,Cauquenes,no2
CL,Machalí,Cauquenes,o3
CL,Machalí,Cauquenes,pm25
CL,Machalí,Cauquenes,co
